ventureid,type_of_venture,retranscriber,perspective_of_source,nationality,source,date_of_primary_source,name_of_the_ship,name_of_the_captain,name_of_investor,name_of_outfitter,number_of_voyages,internal_crossref,voyage_id_in_tstd,place_of_outfitting,place_of_purchase,place_of_disembarkation,date_of_departure_from_port_of_outfitting,date_trade_began_in_africa,date_of_departure_from_africa,date_vessel_arrived_with_enslaved,date_of_return_to_port_of_outfitting,number_of_enslaved_purchased,number_of_enslaved_sold,share_of_the_ship,complete_data_on_outlays,complete_data_on_returns,profits_reported_in_source,fatecol,various_remarks
DR061,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Snapper,,"Goad, John",,1,,90793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
DR062,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Rose,,"Goad, John",,1,,90747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.042,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR063,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,True Blue,,"Goad, John",,1,,,nan,nan,nan,1758,nan,nan,nan,nan,nan,nan,0.0625,yes,yes,,1,"Cannot find matching entry in TSTD. Year has been assumed, based on the dating of the following voyage."
DR064,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,True Blue,,"Goad, John",,1,,90763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0625,with estimates,with estimates,,,
DR065,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,True Blue,,"Goad, John",,1,,90764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0625,with estimates,yes,,,Value of ship imputed from residual after voyage
DR066,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Essex,,"Goad, John",,1,,90813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.083,with estimates,yes,,,Value of ship imputed from residual after voyage
DR067,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Essex,,"Goad, John",,1,,90814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.083,with estimates,yes,,,Value of ship imputed from previous voyage
DR068,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Apollo,,,,1,,91112,nan,nan,nan,1764-08-07,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR069,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Nelly and Nancy,,,,1,,91145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Ship in imputed from residual value of ship.
DR070,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Captain,,"Goad, John",,1,,91014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,
DR071,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,91130,nan,nan,nan,1766,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR072,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,91131,nan,nan,nan,1769,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR073,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,91592,nan,nan,nan,1770,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR074,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,,nan,nan,nan,1770,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR075,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,91593,nan,nan,nan,1771,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR076,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,,nan,nan,nan,1771,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR077,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Blackjoke,,,,1,,91134,nan,nan,nan,1764,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR078,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Blackjoke,,,,1,,91135,nan,nan,nan,1766,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR079,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Blackjoke,,,,1,,91299,nan,nan,nan,1767,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR080,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Hope,,,,1,,,nan,nan,nan,1763,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR081,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Hope,,,,1,,,nan,nan,nan,1764,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR082,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,,nan,nan,nan,1762,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR083,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,91186,nan,nan,nan,1766,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR084,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,91187,nan,nan,nan,1768,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR085,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,,nan,nan,nan,1768,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR086,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,91188,nan,nan,nan,1769,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR087,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,91189,nan,nan,nan,1770,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR088,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,90853,nan,nan,nan,1762,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR089,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,90854,nan,nan,nan,1763,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR090,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91192,nan,nan,nan,1768,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR091,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91193,nan,nan,nan,1768,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR092,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91194,nan,nan,nan,1769,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR093,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91713,nan,nan,nan,1771,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR094,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91715,nan,nan,nan,1773,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR095,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Nanny,,,,1,,91772,nan,nan,nan,1771,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR096,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Aston,,,,1,,91841,nan,nan,nan,1773,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR097,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Hope,,,,1,,,nan,nan,nan,1772,nan,nan,nan,nan,nan,nan,1,yes,yes,,1,Cannot find matching entry in TSTD
DR098,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Knight,,,,1,,91185,nan,nan,nan,1765,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR099,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Lively,,,,1,,91714,nan,nan,nan,1772,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR100,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",nan,Nanny,,,,1,,91773,nan,nan,nan,1772,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
DR101,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Ferret,,"Goad, John",,1,,90795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,with estimates,,,
