transaction_id,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,dateoftransaction,timing,currency,remarks,specificationcategory
DR035_T002,DR035,Return,Net return,2864,,0,,Return,Pound sterling,,Unknown
DR036_T001,DR036,Expenditure,Gross outlays,2666,,0,,Outfitting,Pound sterling,,Unknown
DR036_T002,DR036,Return,Net return,3792,,0,,Return,Pound sterling,,Unknown
DR037_T001,DR037,Expenditure,Gross outlays,3145,,0,,Outfitting,Pound sterling,,Unknown
DR037_T002,DR037,Return,Net return,3909,,0,,Return,Pound sterling,,Unknown
DR038_T001,DR038,Expenditure,Gross outlays,2648,,0,,Outfitting,Pound sterling,,Unknown
DR038_T002,DR038,Return,Net return,3553,,0,,Return,Pound sterling,,Unknown
DR039_T001,DR039,Expenditure,Gross outlays,3865,,0,,Outfitting,Pound sterling,,Unknown
DR039_T002,DR039,Return,Net return,2570,,0,,Return,Pound sterling,,Unknown
DR040_T001,DR040,Expenditure,Gross outlays,4069,,0,,Outfitting,Pound sterling,,Unknown
DR040_T002,DR040,Return,Net return,2839,,0,,Return,Pound sterling,,Unknown
DR041_T001,DR041,Expenditure,Gross outlays,7100,,0,,Outfitting,Pound sterling,,Unknown
DR041_T002,DR041,Return,Net return,4100,,0,,Return,Pound sterling,,Unknown
DR042_T001,DR042,Expenditure,Outfitting,1528,,0,,Outfitting,Pound sterling,,Outfitting
DR042_T002,DR042,Expenditure,Trade cargo costs,2360,,0,,Outfitting,Pound sterling,,Trade cargo
DR042_T003,DR042,Return,Net return,1970,,0,,Return,Pound sterling,,Unknown
DR042_T004,DR042,Expenditure,Ship Out,300,,0,,Outfitting,Pound sterling,,Ship
DR043_T001,DR043,Expenditure,Total outlays,6955,,0,,Outfitting,Pound sterling,,Unknown
DR043_T002,DR043,Return,Net return,8583,,0,,Return,Pound sterling,Not including ship residual value on return,Unknown
DR044_T001,DR044,Expenditure,Gross outlays,6315,,0,,Outfitting,Pound sterling,Not including value of ship out,Unknown
DR044_T002,DR044,Return,Net return,10774,,0,,Return,Pound sterling,Not including ship residual value on return,Unknown
DR045_T001,DR045,Expenditure,Gross outlays,6577,,0,,Outfitting,Pound sterling,Not including value of ship out,Unknown
DR045_T002,DR045,Return,Net return,9143,,0,,Return,Pound sterling,,Unknown
DR045_T003,DR045,Return,Ship In,240,,0,,Return,Pound sterling,,Ship
DR046_T001,DR046,Expenditure,Gross outlays,5693,,0,,Outfitting,Pound sterling,,Unknown
DR046_T002,DR046,Return,Net return,5442,,0,,Return,Pound sterling,,Unknown
DR047_T001,DR047,Expenditure,Gross outlays,4484,,0,,Outfitting,Pound sterling,,Unknown
DR048_T001,DR048,Expenditure,Gross outlays,4376,,0,,Outfitting,Pound sterling,,Unknown
DR048_T002,DR048,Return,Goods imported,2310,,0,,Return,Pound sterling,,
DR048_T003,DR048,Return,Bills of exchange,2849,,0,,Return,Pound sterling,,Credit
DR048_T004,DR048,Return,Ship In,550,,0,,Return,Pound sterling,,Ship
DR048_T005,DR048,Return,Returned goods,65,,0,,Return,Pound sterling,,Cargo
DR049_T001,DR049,Expenditure,Gross outlays,9403,,0,,Outfitting,Pound sterling,,Unknown
DR049_T002,DR049,Return,Net inset,7838,,0,,Return,Pound sterling,,Unknown
DR050_T001,DR050,Expenditure,Ship and outfit,246.875,,0,,Outfitting,Pound sterling,,Unknown
DR050_T002,DR050,Expenditure,Insurance,5.27,,0,,Outfitting,Pound sterling,,Insurance
DR050_T003,DR050,Return,Net inset,186.25,,0,1751-09-01,Return,Pound sterling,,Unknown
DR050_T004,DR050,Return,Bills of exchange,66.39,,0,1752-06-29,Return,Pound sterling,,Credit
DR051_T001,DR051,Expenditure,Cargo and outfitting,198.75,,0,1751-09,Outfitting,Pound sterling,,Cargo and outfitting
DR052_T001,DR052,Expenditure,Cargo and outfitting,252.49,,0,1756-05-20,Outfitting,Pound sterling,,Cargo and outfitting
DR052_T002,DR052,Return,Sale of sugar,164.28,,0,1757-08,Return,Pound sterling,,Cargo
DR052_T003,DR052,Return,Balance of account,413,,0,1757-10,Return,Pound sterling,,Unknown
DR053_T001,DR053,Expenditure,Cargo and outfitting,212.5,,0,1750-08-07,Outfitting,Pound sterling,,Cargo and outfitting
DR053_T002,DR053,Return,Inward account,39.38,,0,1752-06-28,Return,Pound sterling,,Unknown
DR053_T003,DR053,Return,Sale of sugar,228.15,,0,1752-06-28,Return,Pound sterling,,Cargo
DR054_T001,DR054,Expenditure,Cargo and outfitting,127.34,,0,1751-09-16,Outfitting,Pound sterling,,Cargo and outfitting
DR054_T002,DR054,Return,Bills of exchange,103.65,,0,1755-03,Return,Pound sterling,,Credit
DR055_T001,DR055,Expenditure,Cargo and outfitting,69,,0,1755-03-07,Outfitting,Pound sterling,,Cargo and outfitting
DR055_T002,DR055,Return,Inset,78.83,,0,1756-05,Return,Pound sterling,Includes insurance payment,Unknown
DR056_T001,DR056,Expenditure,Cargo and outfitting,72.09,,0,1756-05,Outfitting,Pound sterling,Includes insurance payment,Cargo and outfitting
DR056_T002,DR056,Return,Sale of sugar,71.45,,0,1757-08,Return,Pound sterling,,Cargo
DR057_T001,DR057,Expenditure,Outlays,78,,0,1757-05,Outfitting,Pound sterling,,Unknown
DR057_T002,DR057,Expenditure,Balance of account,11.7,,0,1757-05,Outfitting,Pound sterling,,Unknown
DR057_T003,DR057,Return,Inset,121.81,,0,,Return,Pound sterling,,Unknown
DR057_T004,DR057,Return,Settlement for seized ship,32.5,,0,,Return,Pound sterling,,Insurance
DR058_T001,DR058,Expenditure,Cargo and outfitting,354.33,,0,1757-10-20,Outfitting,Pound sterling,,Cargo and outfitting
DR058_T002,DR058,Expenditure,Insurance,114.28,,0,,Outfitting,Pound sterling,,Insurance
DR058_T003,DR058,Expenditure,Inward costs,152.14,,0,,Return,Pound sterling,Estimated as residual of gross and net returns in source.,Various
DR058_T004,DR058,Return,Bills of exchange,432.95,,0,1758-08-10,Return,Pound sterling,,Credit
DR058_T005,DR058,Return,Sale of sugar,260.79,,0,1758-08-10,Return,Pound sterling,,Cargo
DR059_T001,DR059,Expenditure,Cargo and outfitting,362.02,,0,1758-09,Outfitting,Pound sterling,,Cargo and outfitting
DR059_T002,DR059,Expenditure,Insurance,105.45,,0,,Outfitting,Pound sterling,,Insurance
DR059_T003,DR059,Return,Ship In,50,,0,1759-09-15,Return,Pound sterling,,Ship
DR059_T004,DR059,Return,Bills of exchange,734.32,,0,1759-09-15,Return,Pound sterling,,Credit
DR060_T001,DR060,Expenditure,Cargo and outfitting,458.55,,0,1759-07-25,Outfitting,Pound sterling,,Cargo and outfitting
DR060_T002,DR060,Expenditure,Insurance,118,,0,,Outfitting,Pound sterling,,Insurance
DR060_T003,DR060,Expenditure,Ship Out,50,,0,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR059,Ship
DR060_T004,DR060,Return,Bills of exchange,245.56,,0,1760-05-28,Return,Pound sterling,,Credit
DR060_T005,DR060,Return,Bills of exchange,286.71,,0,1760-09-20,Return,Pound sterling,,Credit
DR060_T006,DR060,Return,Sale of sugar,54.6,,0,,Return,Pound sterling,,Cargo
DR060_T007,DR060,Return,Ship In,50,,0,,Return,Pound sterling,,Ship
DR061_T001,DR061,Expenditure,Cargo and outfitting,370.54,,0,,Outfitting,Pound sterling,,Cargo and outfitting
DR061_T002,DR061,Expenditure,Insurance,105.46,,0,,Outfitting,Pound sterling,,Insurance
DR061_T003,DR061,Expenditure,Ship Out,50,,0,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR060,Ship
DR061_T004,DR061,Return,Inward account,495.48,,0,,Return,Pound sterling,,Unknown
DR061_T005,DR061,Return,Returned goods,26.59,,0,,Return,Pound sterling,,Cargo
DR061_T006,DR061,Return,Ship In,50,,0,,Return,Pound sterling,,Ship
DR062_T001,DR062,Expenditure,Ship and outfit,135.84,,0,1758-10-20,Outfitting,Pound sterling,,Unknown
DR062_T002,DR062,Expenditure,Cargo,229.16,,0,1758-10-20,Outfitting,Pound sterling,,Cargo
DR062_T003,DR062,Return,Net inset,482.48,,0,,Return,Pound sterling,Includes residual ship value,Unknown
DR063_T001,DR063,Expenditure,Ship and outfit,201.78,,0,1758-01-18,Outfitting,Pound sterling,,Unknown
DR063_T002,DR063,Expenditure,Cargo,289.47,,0,1758-01-18,Outfitting,Pound sterling,,Cargo
DR063_T003,DR063,Expenditure,Insurance,73.36,,0,,Outfitting,Pound sterling,,Insurance
DR063_T004,DR063,Return,"Net inset, including ship in",756.45,,0,,Return,Pound sterling,"Re-calculated for a 1/16 share of the venture, based on inset to another, 1/24 shareholder.",Unknown
DR064_T001,DR064,Expenditure,Cargo and outfitting,491.25,,0,1759-02-15,Outfitting,Pound sterling,,Cargo and outfitting
DR064_T002,DR064,Return,Inward account,504.3,,0,,Return,Pound sterling,,Unknown
DR065_T001,DR065,Expenditure,Cargo,247.68,,0,1760,Outfitting,Pound sterling,,Cargo
DR065_T002,DR065,Expenditure,Outfitting,60.45,,0,1760,Outfitting,Pound sterling,,Outfitting
DR065_T003,DR065,Expenditure,Insurance,65.15,,0,,Outfitting,Pound sterling,,Insurance
DR065_T004,DR065,Return,Sale of sugar,260.95,,0,,Return,Pound sterling,,Cargo
DR065_T005,DR065,Return,Returned goods,80.85,,0,,Return,Pound sterling,,Cargo
DR065_T006,DR065,Return,Ship In,80,,0,,Return,Pound sterling,,Ship
DR065_T007,DR065,Return,Other return,171.75,,0,,Return,Pound sterling,Estimated as the residual of total net inset and specific details of the inset.,Various
DR066_T001,DR066,Expenditure,Cargo and outfitting,311.73,,0,1759-10-01,Outfitting,Pound sterling,,Cargo and outfitting
DR066_T002,DR066,Expenditure,Insurance,44.23,,0,,Outfitting,Pound sterling,,Insurance
DR066_T003,DR066,Return,Inward account,455.93,,0,,Return,Pound sterling,,Unknown
DR066_T004,DR066,Return,Ship In,33.3,,0,,Return,Pound sterling,,Ship
DR067_T001,DR067,Expenditure,Cargo and outfitting,274.17,,0,1760-09-20,Outfitting,Pound sterling,,Cargo and outfitting
DR067_T002,DR067,Expenditure,Insurance,41.18,,0,1760-09-23,Outfitting,Pound sterling,,Insurance
DR067_T003,DR067,Expenditure,Insurance,12.6,,0,1761-05-09,Outfitting,Pound sterling,,Insurance
DR067_T004,DR067,Expenditure,Ship Out,33.3,,0,,Outfitting,Pound sterling,Estimated based on residual value from previous voyage DR066,Ship
DR067_T005,DR067,Expenditure,Wages,9.12,,0,1761-08-19,Return,Pound sterling,,Wages
DR067_T006,DR067,Return,Inward account,446.93,,0,,Return,Pound sterling,,Unknown
DR067_T007,DR067,Return,Ship In,25,,0,,Return,Pound sterling,,Ship
DR068_T001,DR068,Expenditure,Outfitting,612.39,,0,,Outfitting,Pound sterling,,Outfitting
DR068_T002,DR068,Expenditure,Cargo,2428.05,,0,,Outfitting,Pound sterling,,Cargo
DR068_T003,DR068,Return,Inset,3100.26,,0,1765-09-06,Return,Pound sterling,,Unknown
DR068_T004,DR068,Return,Ship In,45,,0,1765-09-06,Return,Pound sterling,,Ship
DR068_T005,DR068,Return,Ship In,126.58,,0,1767-04-18,Return,Pound sterling,,Ship
DR069_T001,DR069,Expenditure,Cargo,3467.7,,0,,Outfitting,Pound sterling,,Cargo
DR069_T002,DR069,Expenditure,Ship and outfit,1996.3,,0,,Outfitting,Pound sterling,,Unknown
DR069_T003,DR069,Return,Net inset,5657.86,,0,,Return,Pound sterling,,Unknown
DR070_T001,DR070,Expenditure,Cargo,4196,,0,,Outfitting,Pound sterling,,Cargo
DR070_T002,DR070,Expenditure,Outfitting,954,,0,,Outfitting,Pound sterling,,Outfitting
DR070_T003,DR070,Return,Ship In,1200,,0,,Return,Pound sterling,,Ship
DR070_T004,DR070,Return,Net inset,3503,,0,,Return,Pound sterling,,Unknown
DR071_T001,DR071,Expenditure,Outlays,3336,,0,,Outfitting,Pound sterling,,Unknown
DR071_T002,DR071,Return,Inset,2392,,0,,Return,Pound sterling,,Unknown
DR072_T001,DR072,Expenditure,Outlays,2555,,0,,Outfitting,Pound sterling,,Unknown
DR072_T002,DR072,Return,Inset,3219,,0,,Return,Pound sterling,,Unknown
DR073_T001,DR073,Expenditure,Outlays,3256,,0,,Outfitting,Pound sterling,,Unknown
DR073_T002,DR073,Return,Inset,3539,,0,,Return,Pound sterling,,Unknown
DR074_T001,DR074,Expenditure,Outlays,6816,,0,,Outfitting,Pound sterling,,Unknown
DR074_T002,DR074,Return,Inset,7672,,0,,Return,Pound sterling,,Unknown
DR075_T001,DR075,Expenditure,Outlays,3547,,0,,Outfitting,Pound sterling,,Unknown
DR075_T002,DR075,Return,Inset,3133,,0,,Return,Pound sterling,,Unknown
DR076_T001,DR076,Expenditure,Outlays,5752,,0,,Outfitting,Pound sterling,,Unknown
DR076_T002,DR076,Return,Inset,3176,,0,,Return,Pound sterling,,Unknown
DR077_T001,DR077,Expenditure,Outlays,1776,,0,,Outfitting,Pound sterling,,Unknown
DR077_T002,DR077,Return,Inset,1572,,0,,Return,Pound sterling,,Unknown
DR078_T001,DR078,Expenditure,Outlays,1560,,0,,Outfitting,Pound sterling,,Unknown
DR078_T002,DR078,Return,Inset,1362,,0,,Return,Pound sterling,,Unknown
DR079_T001,DR079,Expenditure,Outlays,1588,,0,,Outfitting,Pound sterling,,Unknown
DR079_T002,DR079,Return,Inset,1256,,0,,Return,Pound sterling,,Unknown
DR080_T001,DR080,Expenditure,Outlays,1884,,0,,Outfitting,Pound sterling,,Unknown
DR080_T002,DR080,Return,Inset,1164,,0,,Return,Pound sterling,,Unknown
DR081_T001,DR081,Expenditure,Outlays,1104,,0,,Outfitting,Pound sterling,,Unknown
DR081_T002,DR081,Return,Inset,1926,,0,,Return,Pound sterling,,Unknown
